doc_code	item_id	title
asbj_completed_drafts	s0005-part-01	「自己株式及び法定準備金の取崩等に関する会計基準適用指針（その２）」 (part 1/6)
asbj_completed_drafts	s0005-part-02	「自己株式及び法定準備金の取崩等に関する会計基準適用指針（その２）」 (part 2/6)
asbj_completed_drafts	s0005-part-03	「自己株式及び法定準備金の取崩等に関する会計基準適用指針（その２）」 (part 3/6)
asbj_completed_drafts	s0005-part-04	「自己株式及び法定準備金の取崩等に関する会計基準適用指針（その２）」 (part 4/6)
asbj_completed_drafts	s0005-part-05	「自己株式及び法定準備金の取崩等に関する会計基準適用指針（その２）」 (part 5/6)
asbj_completed_drafts	s0005-part-06	「自己株式及び法定準備金の取崩等に関する会計基準適用指針（その２）」 (part 6/6)
asbj_completed_drafts	s0006	「『退職給付に係る会計基準』の一部改正に関する適用指針」
asbj_completed_drafts	s0007	「『退職給付に係る会計基準』の一部改正に関する適用指針」設例
asbj_completed_drafts	s0008-part-01	「税効果会計に適用する税率に関する適用指針」 (part 1/3)
asbj_completed_drafts	s0008-part-02	「税効果会計に適用する税率に関する適用指針」 (part 2/3)
asbj_completed_drafts	s0008-part-03	「税効果会計に適用する税率に関する適用指針」 (part 3/3)
asbj_completed_drafts	s0009	「潜在株式調整後１株当たり当期純利益に関する当面の取扱い」
asbj_completed_drafts	s0010	「連結納税制度を適用する場合の中間財務諸表等における税効果会計に関する当面の取扱い」
asbj_completed_drafts	s0011	「法人事業税における外形標準課税部分の損益計算書上の表示についての実務上の取扱い」
asbj_completed_drafts	s0012	「役員賞与の会計処理に関する当面の取り扱い」
asbj_completed_drafts	s0013	「固定資産の減損に係る会計基準の早期適用に関する実務上の取扱い」
asbj_completed_drafts	s0014-part-01	「会社法による新株予約権及び新株予約権付社債の会計処理に関する実務上の取扱い」 (part 1/2)
asbj_completed_drafts	s0014-part-02	「会社法による新株予約権及び新株予約権付社債の会計処理に関する実務上の取扱い」 (part 2/2)
