doc_code	item_id	title
etax_tetsuzuki6	s001	利用可能手続一覧
etax_tetsuzuki6	s002	ファイル形式を定める国税庁告示（令和7年国税庁告示第12号）の概要
etax_tetsuzuki6	s003	法人税申告書別表等（明細記載を要する部分）のCSV形式データの作成方法
gensen_aramashi_2026	s001	凡例
gensen_aramashi_2026	s002	税制改正等の内容
gensen_aramashi_2026	s003	目次
gensen_aramashi_2026	s004-part-01	第1 源泉徴収制度について (part 1/2)
gensen_aramashi_2026	s004-part-02	第1 源泉徴収制度について (part 2/2)
gensen_aramashi_2026	s005-part-01	第2 給与所得の源泉徴収事務 (part 1/14)
gensen_aramashi_2026	s005-part-02	第2 給与所得の源泉徴収事務 (part 2/14)
gensen_aramashi_2026	s005-part-03	第2 給与所得の源泉徴収事務 (part 3/14)
gensen_aramashi_2026	s005-part-04	第2 給与所得の源泉徴収事務 (part 4/14)
gensen_aramashi_2026	s005-part-05	第2 給与所得の源泉徴収事務 (part 5/14)
gensen_aramashi_2026	s005-part-06	第2 給与所得の源泉徴収事務 (part 6/14)
gensen_aramashi_2026	s005-part-07	第2 給与所得の源泉徴収事務 (part 7/14)
gensen_aramashi_2026	s005-part-08	第2 給与所得の源泉徴収事務 (part 8/14)
gensen_aramashi_2026	s005-part-09	第2 給与所得の源泉徴収事務 (part 9/14)
gensen_aramashi_2026	s005-part-10	第2 給与所得の源泉徴収事務 (part 10/14)
gensen_aramashi_2026	s005-part-11	第2 給与所得の源泉徴収事務 (part 11/14)
gensen_aramashi_2026	s005-part-12	第2 給与所得の源泉徴収事務 (part 12/14)
gensen_aramashi_2026	s005-part-13	第2 給与所得の源泉徴収事務 (part 13/14)
gensen_aramashi_2026	s005-part-14	第2 給与所得の源泉徴収事務 (part 14/14)
gensen_aramashi_2026	s006-part-01	第3 退職所得の源泉徴収事務 (part 1/8)
gensen_aramashi_2026	s006-part-02	第3 退職所得の源泉徴収事務 (part 2/8)
gensen_aramashi_2026	s006-part-03	第3 退職所得の源泉徴収事務 (part 3/8)
