--- split 2/4 of beppyo-2.txt ---
| ４２２，０００ | ４２５，０００ | １７，２５０ | １４，０９０ | １０，９２０ | ７，９４０ | ６，３６０ | ４，７７０ | ３，１９０ | １，６１０ | １００，３００ |
| ４２５，０００ | ４２８，０００ | １７，４９０ | １４，３３０ | １１，１６０ | ８，０６０ | ６，４８０ | ４，８９０ | ３，３１０ | １，７３０ | １０１，９００ |
| ４２８，０００ | ４３１，０００ | １７，７３０ | １４，５７０ | １１，４００ | ８，２３０ | ６，６００ | ５，０１０ | ３，４３０ | １，８５０ | １０３，６００ |
| ４３１，０００ | ４３４，０００ | １７，９７０ | １４，８１０ | １１，６４０ | ８，４７０ | ６，７２０ | ５，１３０ | ３，５５０ | １，９７０ | １０５，３００ |
| ４３４，０００ | ４３７，０００ | １８，２１０ | １５，０５０ | １１，８８０ | ８，７１０ | ６，８４０ | ５，２５０ | ３，６７０ | ２，０９０ | １０６，９００ |
|  |  |  |  |  |  |  |  |  |  |  |
| ４３７，０００ | ４４０，０００ | １８，４５０ | １５，２９０ | １２，１２０ | ８，９５０ | ６，９６０ | ５，３７０ | ３，７９０ | ２，２１０ | １０８，６００ |
| ４４０，０００ | ４４３，０００ | １８，６９０ | １５，５３０ | １２，３６０ | ９，１９０ | ７，０８０ | ５，４９０ | ３，９１０ | ２，３３０ | １１０，３００ |
| ４４３，０００ | ４４６，０００ | １８，９３０ | １５，７７０ | １２，６００ | ９，４３０ | ７，２００ | ５，６１０ | ４，０３０ | ２，４５０ | １１１，９００ |
| ４４６，０００ | ４４９，０００ | １９，１７０ | １６，０１０ | １２，８４０ | ９，６７０ | ７，３２０ | ５，７３０ | ４，１５０ | ２，５７０ | １１３，６００ |
| ４４９，０００ | ４５２，０００ | １９，４５０ | １６，２５０ | １３，０８０ | ９，９１０ | ７，４４０ | ５，８５０ | ４，２７０ | ２，６９０ | １１５，２００ |
|  |  |  |  |  |  |  |  |  |  |  |
