law: 所得税法 (shotokuzei)
law_type: act / law_num: 昭和四十年法律第三十三号 / egov_id: 340AC0000000033 / as_of: 2025-12-27
article: beppyo-3 / title: 別表第三

給与所得の源泉徴収税額表（日額表）（第百八十五条関係）

### （一）
| その日の社会保険料等控除後の給与等の金額 | 甲 | 乙 | 丙 |  |  |  |  |  |  |  |  |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| その日の社会保険料等控除後の給与等の金額 | 扶養親族等の数 |  |  |  |  |  |  |  |  |  |  |
| その日の社会保険料等控除後の給与等の金額 | ０人 | １人 | ２人 | ３人 | ４人 | ５人 | ６人 | ７人 |  |  |  |
| 以上 | 未満 | 税額 | 税額 | 税額 |  |  |  |  |  |  |  |
| 円 | 円 | 円 | 円 | 円 | 円 | 円 | 円 | 円 | 円 | 円 | 円 |
| ３，５００円未満 | ０ | ０ | ０ | ０ | ０ | ０ | ０ | ０ | その日の社会保険料等控除後の給与等の金額の３％に相当する金額 | ０ |  |
|  |  |  |  |  |  |  |  |  | その日の社会保険料等控除後の給与等の金額の３％に相当する金額 |  |  |
| ３，５００ | ３，６００ | ５ | ０ | ０ | ０ | ０ | ０ | ０ | ０ | １２０ | ０ |
| ３，６００ | ３，７００ | １０ | ０ | ０ | ０ | ０ | ０ | ０ | ０ | １３０ | ０ |
| ３，７００ | ３，８００ | １５ | ０ | ０ | ０ | ０ | ０ | ０ | ０ | １３０ | ０ |
| ３，８００ | ３，９００ | ２０ | ０ | ０ | ０ | ０ | ０ | ０ | ０ | １３０ | ０ |
| ３，９００ | ４，０００ | ２５ | ０ | ０ | ０ | ０ | ０ | ０ | ０ | １４０ | ０ |
|  |  |  |  |  |  |  |  |  |  |  |  |
| ４，０００ | ４，１００ | ３０ | ０ | ０ | ０ | ０ | ０ | ０ | ０ | １４０ | ０ |
| ４，１００ | ４，２００ | ３５ | ０ | ０ | ０ | ０ | ０ | ０ | ０ | １５０ | ０ |
| ４，２００ | ４，３００ | ４０ | ０ | ０ | ０ | ０ | ０ | ０ | ０ | １６０ | ０ |
| ４，３００ | ４，４００ | ４５ | ０ | ０ | ０ | ０ | ０ | ０ | ０ | １７０ | ０ |
| ４，４００ | ４，５００ | ５０ | ０ | ０ | ０ | ０ | ０ | ０ | ０ | １９０ | ０ |
|  |  |  |  |  |  |  |  |  |  |  |  |
| ４，５００ | ４，６００ | ５５ | ５ | ０ | ０ | ０ | ０ | ０ | ０ | ２００ | ０ |
| ４，６００ | ４，７００ | ６０ | １０ | ０ | ０ | ０ | ０ | ０ | ０ | ２２０ | ０ |
| ４，７００ | ４，８００ | ６５ | １５ | ０ | ０ | ０ | ０ | ０ | ０ | ２３０ | ０ |
| ４，８００ | ４，９００ | ７０ | ２０ | ０ | ０ | ０ | ０ | ０ | ０ | ２５０ | ０ |
| ４，９００ | ５，０００ | ７５ | ２５ | ０ | ０ | ０ | ０ | ０ | ０ | ２６０ | ０ |
|  |  |  |  |  |  |  |  |  |  |  |  |
| ５，０００ | ５，１００ | ８０ | ３０ | ０ | ０ | ０ | ０ | ０ | ０ | ２８０ | ０ |
| ５，１００ | ５，２００ | ８５ | ３５ | ０ | ０ | ０ | ０ | ０ | ０ | ２９０ | ０ |
| ５，２００ | ５，３００ | ９０ | ４０ | ０ | ０ | ０ | ０ | ０ | ０ | ３００ | ０ |
| ５，３００ | ５，４００ | ９５ | ４０ | ０ | ０ | ０ | ０ | ０ | ０ | ３２０ | ０ |
| ５，４００ | ５，５００ | １００ | ４５ | ０ | ０ | ０ | ０ | ０ | ０ | ３３０ | ０ |
|  |  |  |  |  |  |  |  |  |  |  |  |
| ５，５００ | ５，６００ | １００ | ５０ | ０ | ０ | ０ | ０ | ０ | ０ | ３５０ | ０ |
| ５，６００ | ５，７００ | １０５ | ５５ | ０ | ０ | ０ | ０ | ０ | ０ | ３６０ | ０ |
| ５，７００ | ５，８００ | １１０ | ５５ | ５ | ０ | ０ | ０ | ０ | ０ | ３８０ | ０ |
| ５，８００ | ５，９００ | １１５ | ６０ | ５ | ０ | ０ | ０ | ０ | ０ | ３９０ | ０ |
| ５，９００ | ６，０００ | １１５ | ６５ | １０ | ０ | ０ | ０ | ０ | ０ | ４１０ | ０ |
|  |  |  |  |  |  |  |  |  |  |  |  |
| ６，０００ | ６，１００ | １２０ | ６５ | １５ | ０ | ０ | ０ | ０ | ０ | ４２０ | ０ |
| ６，１００ | ６，２００ | １２５ | ７０ | １５ | ０ | ０ | ０ | ０ | ０ | ４６０ | ０ |
| ６，２００ | ６，３００ | １２５ | ７５ | ２０ | ０ | ０ | ０ | ０ | ０ | ４９０ | ０ |
| ６，３００ | ６，４００ | １３０ | ７５ | ２５ | ０ | ０ | ０ | ０ | ０ | ５３０ | ０ |
| ６，４００ | ６，５００ | １３５ | ８０ | ３０ | ０ | ０ | ０ | ０ | ０ | ５６０ | ０ |
|  |  |  |  |  |  |  |  |  |  |  |  |
| ６，５００ | ６，６００ | １３５ | ８５ | ３０ | ０ | ０ | ０ | ０ | ０ | ６００ | ０ |
| ６，６００ | ６，７００ | １４０ | ９０ | ３５ | ０ | ０ | ０ | ０ | ０ | ６３０ | ０ |
| ６，７００ | ６，８００ | １４５ | ９０ | ４０ | ０ | ０ | ０ | ０ | ０ | ６７０ | ０ |
| ６，８００ | ６，９００ | １５０ | ９５ | ４０ | ０ | ０ | ０ | ０ | ０ | ７００ | ０ |
| ６，９００ | ７，０００ | １５０ | １００ | ４５ | ０ | ０ | ０ | ０ | ０ | ７３０ | ０ |
|  |  |  |  |  |  |  |  |  |  |  |  |
| ７，０００ | ７，１００ | １５５ | １００ | ５０ | ０ | ０ | ０ | ０ | ０ | ７６０ | ０ |
| ７，１００ | ７，２００ | １６０ | １０５ | ５０ | ０ | ０ | ０ | ０ | ０ | ７９０ | ０ |
| ７，２００ | ７，３００ | １６０ | １１０ | ５５ | ５ | ０ | ０ | ０ | ０ | ８２０ | ０ |
| ７，３００ | ７，４００ | １６５ | １１０ | ６０ | ５ | ０ | ０ | ０ | ０ | ８４０ | ０ |
| ７，４００ | ７，５００ | １７０ | １１５ | ６５ | １０ | ０ | ０ | ０ | ０ | ８８０ | ０ |
|  |  |  |  |  |  |  |  |  |  |  |  |
| ７，５００ | ７，６００ | １７０ | １２０ | ６５ | １５ | ０ | ０ | ０ | ０ | ９１０ | ０ |
| ７，６００ | ７，７００ | １７５ | １２５ | ７０ | １５ | ０ | ０ | ０ | ０ | ９４０ | ０ |
| ７，７００ | ７，８００ | １８０ | １２５ | ７５ | ２０ | ０ | ０ | ０ | ０ | ９７０ | ０ |
| ７，８００ | ７，９００ | １８５ | １３０ | ７５ | ２５ | ０ | ０ | ０ | ０ | １，０１０ | ０ |
| ７，９００ | ８，０００ | １８５ | １３５ | ８０ | ３０ | ０ | ０ | ０ | ０ | １，０４０ | ０ |

### （二）
| その日の社会保険料等控除後の給与等の金額 | 甲 | 乙 | 丙 |  |  |  |  |  |  |  |  |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| その日の社会保険料等控除後の給与等の金額 | 扶養親族等の数 |  |  |  |  |  |  |  |  |  |  |
| その日の社会保険料等控除後の給与等の金額 | ０人 | １人 | ２人 | ３人 | ４人 | ５人 | ６人 | ７人 |  |  |  |
| 以上 | 未満 | 税額 | 税額 | 税額 |  |  |  |  |  |  |  |
| 円 | 円 | 円 | 円 | 円 | 円 | 円 | 円 | 円 | 円 | 円 | 円 |
| ８，０００ | ８，１００ | １９０ | １３５ | ８５ | ３０ | ０ | ０ | ０ | ０ | １，０７０ | ０ |
| ８，１００ | ８，２００ | １９５ | １４０ | ８５ | ３５ | ０ | ０ | ０ | ０ | １，１１０ | ０ |
| ８，２００ | ８，３００ | １９５ | １４５ | ９０ | ４０ | ０ | ０ | ０ | ０ | １，１４０ | ０ |
| ８，３００ | ８，４００ | ２００ | １４５ | ９５ | ４０ | ０ | ０ | ０ | ０ | １，１７０ | ０ |
| ８，４００ | ８，５００ | ２０５ | １５０ | １００ | ４５ | ０ | ０ | ０ | ０ | １，２１０ | ０ |
|  |  |  |  |  |  |  |  |  |  |  |  |
