--- split 2/5 of beppyo-5.txt ---
| ２，６２４，０００ | ２，６２８，０００ | １，７５６，８００ | ２，８２４，０００ | ２，８２８，０００ | １，８９６，８００ | ３，０２４，０００ | ３，０２８，０００ | ２，０３６，８００ |
| ２，６２８，０００ | ２，６３２，０００ | １，７５９，６００ | ２，８２８，０００ | ２，８３２，０００ | １，８９９，６００ | ３，０２８，０００ | ３，０３２，０００ | ２，０３９，６００ |
| ２，６３２，０００ | ２，６３６，０００ | １，７６２，４００ | ２，８３２，０００ | ２，８３６，０００ | １，９０２，４００ | ３，０３２，０００ | ３，０３６，０００ | ２，０４２，４００ |
| ２，６３６，０００ | ２，６４０，０００ | １，７６５，２００ | ２，８３６，０００ | ２，８４０，０００ | １，９０５，２００ | ３，０３６，０００ | ３，０４０，０００ | ２，０４５，２００ |
|  |  |  |  |  |  |  |  |  |
| ２，６４０，０００ | ２，６４４，０００ | １，７６８，０００ | ２，８４０，０００ | ２，８４４，０００ | １，９０８，０００ | ３，０４０，０００ | ３，０４４，０００ | ２，０４８，０００ |
| ２，６４４，０００ | ２，６４８，０００ | １，７７０，８００ | ２，８４４，０００ | ２，８４８，０００ | １，９１０，８００ | ３，０４４，０００ | ３，０４８，０００ | ２，０５０，８００ |
| ２，６４８，０００ | ２，６５２，０００ | １，７７３，６００ | ２，８４８，０００ | ２，８５２，０００ | １，９１３，６００ | ３，０４８，０００ | ３，０５２，０００ | ２，０５３，６００ |
| ２，６５２，０００ | ２，６５６，０００ | １，７７６，４００ | ２，８５２，０００ | ２，８５６，０００ | １，９１６，４００ | ３，０５２，０００ | ３，０５６，０００ | ２，０５６，４００ |
| ２，６５６，０００ | ２，６６０，０００ | １，７７９，２００ | ２，８５６，０００ | ２，８６０，０００ | １，９１９，２００ | ３，０５６，０００ | ３，０６０，０００ | ２，０５９，２００ |

### （三）
| 給与等の金額 | 給与所得控除後の給与等の金額 | 給与等の金額 | 給与所得控除後の給与等の金額 | 給与等の金額 | 給与所得控除後の給与等の金額 |  |  |  |
| --- | --- | --- | --- | --- | --- | --- | --- | --- |
| 以上 | 給与所得控除後の給与等の金額 | 未満 | 給与所得控除後の給与等の金額 | 以上 | 給与所得控除後の給与等の金額 | 未満 | 以上 | 未満 |
| 円 | 円 | 円 | 円 | 円 | 円 | 円 | 円 | 円 |
| ３，０６０，０００ | ３，０６４，０００ | ２，０６２，０００ | ３，２６０，０００ | ３，２６４，０００ | ２，２０２，０００ | ３，４６０，０００ | ３，４６４，０００ | ２，３４２，０００ |
| ３，０６４，０００ | ３，０６８，０００ | ２，０６４，８００ | ３，２６４，０００ | ３，２６８，０００ | ２，２０４，８００ | ３，４６４，０００ | ３，４６８，０００ | ２，３４４，８００ |
| ３，０６８，０００ | ３，０７２，０００ | ２，０６７，６００ | ３，２６８，０００ | ３，２７２，０００ | ２，２０７，６００ | ３，４６８，０００ | ３，４７２，０００ | ２，３４７，６００ |
| ３，０７２，０００ | ３，０７６，０００ | ２，０７０，４００ | ３，２７２，０００ | ３，２７６，０００ | ２，２１０，４００ | ３，４７２，０００ | ３，４７６，０００ | ２，３５０，４００ |
| ３，０７６，０００ | ３，０８０，０００ | ２，０７３，２００ | ３，２７６，０００ | ３，２８０，０００ | ２，２１３，２００ | ３，４７６，０００ | ３，４８０，０００ | ２，３５３，２００ |
|  |  |  |  |  |  |  |  |  |
| ３，０８０，０００ | ３，０８４，０００ | ２，０７６，０００ | ３，２８０，０００ | ３，２８４，０００ | ２，２１６，０００ | ３，４８０，０００ | ３，４８４，０００ | ２，３５６，０００ |
| ３，０８４，０００ | ３，０８８，０００ | ２，０７８，８００ | ３，２８４，０００ | ３，２８８，０００ | ２，２１８，８００ | ３，４８４，０００ | ３，４８８，０００ | ２，３５８，８００ |
