--- split 3/5 of beppyo-5.txt ---
| ３，７８８，０００ | ３，７９２，０００ | ２，５９０，４００ | ３，９８８，０００ | ３，９９２，０００ | ２，７５０，４００ | ４，１８８，０００ | ４，１９２，０００ | ２，９１０，４００ |
| ３，７９２，０００ | ３，７９６，０００ | ２，５９３，６００ | ３，９９２，０００ | ３，９９６，０００ | ２，７５３，６００ | ４，１９２，０００ | ４，１９６，０００ | ２，９１３，６００ |
| ３，７９６，０００ | ３，８００，０００ | ２，５９６，８００ | ３，９９６，０００ | ４，０００，０００ | ２，７５６，８００ | ４，１９６，０００ | ４，２００，０００ | ２，９１６，８００ |
|  |  |  |  |  |  |  |  |  |
| ３，８００，０００ | ３，８０４，０００ | ２，６００，０００ | ４，０００，０００ | ４，００４，０００ | ２，７６０，０００ | ４，２００，０００ | ４，２０４，０００ | ２，９２０，０００ |
| ３，８０４，０００ | ３，８０８，０００ | ２，６０３，２００ | ４，００４，０００ | ４，００８，０００ | ２，７６３，２００ | ４，２０４，０００ | ４，２０８，０００ | ２，９２３，２００ |
| ３，８０８，０００ | ３，８１２，０００ | ２，６０６，４００ | ４，００８，０００ | ４，０１２，０００ | ２，７６６，４００ | ４，２０８，０００ | ４，２１２，０００ | ２，９２６，４００ |
| ３，８１２，０００ | ３，８１６，０００ | ２，６０９，６００ | ４，０１２，０００ | ４，０１６，０００ | ２，７６９，６００ | ４，２１２，０００ | ４，２１６，０００ | ２，９２９，６００ |
| ３，８１６，０００ | ３，８２０，０００ | ２，６１２，８００ | ４，０１６，０００ | ４，０２０，０００ | ２，７７２，８００ | ４，２１６，０００ | ４，２２０，０００ | ２，９３２，８００ |
|  |  |  |  |  |  |  |  |  |
| ３，８２０，０００ | ３，８２４，０００ | ２，６１６，０００ | ４，０２０，０００ | ４，０２４，０００ | ２，７７６，０００ | ４，２２０，０００ | ４，２２４，０００ | ２，９３６，０００ |
| ３，８２４，０００ | ３，８２８，０００ | ２，６１９，２００ | ４，０２４，０００ | ４，０２８，０００ | ２，７７９，２００ | ４，２２４，０００ | ４，２２８，０００ | ２，９３９，２００ |
| ３，８２８，０００ | ３，８３２，０００ | ２，６２２，４００ | ４，０２８，０００ | ４，０３２，０００ | ２，７８２，４００ | ４，２２８，０００ | ４，２３２，０００ | ２，９４２，４００ |
| ３，８３２，０００ | ３，８３６，０００ | ２，６２５，６００ | ４，０３２，０００ | ４，０３６，０００ | ２，７８５，６００ | ４，２３２，０００ | ４，２３６，０００ | ２，９４５，６００ |
| ３，８３６，０００ | ３，８４０，０００ | ２，６２８，８００ | ４，０３６，０００ | ４，０４０，０００ | ２，７８８，８００ | ４，２３６，０００ | ４，２４０，０００ | ２，９４８，８００ |
|  |  |  |  |  |  |  |  |  |
| ３，８４０，０００ | ３，８４４，０００ | ２，６３２，０００ | ４，０４０，０００ | ４，０４４，０００ | ２，７９２，０００ | ４，２４０，０００ | ４，２４４，０００ | ２，９５２，０００ |
| ３，８４４，０００ | ３，８４８，０００ | ２，６３５，２００ | ４，０４４，０００ | ４，０４８，０００ | ２，７９５，２００ | ４，２４４，０００ | ４，２４８，０００ | ２，９５５，２００ |
| ３，８４８，０００ | ３，８５２，０００ | ２，６３８，４００ | ４，０４８，０００ | ４，０５２，０００ | ２，７９８，４００ | ４，２４８，０００ | ４，２５２，０００ | ２，９５８，４００ |
| ３，８５２，０００ | ３，８５６，０００ | ２，６４１，６００ | ４，０５２，０００ | ４，０５６，０００ | ２，８０１，６００ | ４，２５２，０００ | ４，２５６，０００ | ２，９６１，６００ |
