--- split 4/5 of beppyo-5.txt ---
| ４，９５２，０００ | ４，９５６，０００ | ３，５２１，６００ | ５，１５２，０００ | ５，１５６，０００ | ３，６８１，６００ | ５，３５２，０００ | ５，３５６，０００ | ３，８４１，６００ |
| ４，９５６，０００ | ４，９６０，０００ | ３，５２４，８００ | ５，１５６，０００ | ５，１６０，０００ | ３，６８４，８００ | ５，３５６，０００ | ５，３６０，０００ | ３，８４４，８００ |
|  |  |  |  |  |  |  |  |  |
| ４，９６０，０００ | ４，９６４，０００ | ３，５２８，０００ | ５，１６０，０００ | ５，１６４，０００ | ３，６８８，０００ | ５，３６０，０００ | ５，３６４，０００ | ３，８４８，０００ |
| ４，９６４，０００ | ４，９６８，０００ | ３，５３１，２００ | ５，１６４，０００ | ５，１６８，０００ | ３，６９１，２００ | ５，３６４，０００ | ５，３６８，０００ | ３，８５１，２００ |
| ４，９６８，０００ | ４，９７２，０００ | ３，５３４，４００ | ５，１６８，０００ | ５，１７２，０００ | ３，６９４，４００ | ５，３６８，０００ | ５，３７２，０００ | ３，８５４，４００ |
| ４，９７２，０００ | ４，９７６，０００ | ３，５３７，６００ | ５，１７２，０００ | ５，１７６，０００ | ３，６９７，６００ | ５，３７２，０００ | ５，３７６，０００ | ３，８５７，６００ |
| ４，９７６，０００ | ４，９８０，０００ | ３，５４０，８００ | ５，１７６，０００ | ５，１８０，０００ | ３，７００，８００ | ５，３７６，０００ | ５，３８０，０００ | ３，８６０，８００ |
|  |  |  |  |  |  |  |  |  |
| ４，９８０，０００ | ４，９８４，０００ | ３，５４４，０００ | ５，１８０，０００ | ５，１８４，０００ | ３，７０４，０００ | ５，３８０，０００ | ５，３８４，０００ | ３，８６４，０００ |
| ４，９８４，０００ | ４，９８８，０００ | ３，５４７，２００ | ５，１８４，０００ | ５，１８８，０００ | ３，７０７，２００ | ５，３８４，０００ | ５，３８８，０００ | ３，８６７，２００ |
| ４，９８８，０００ | ４，９９２，０００ | ３，５５０，４００ | ５，１８８，０００ | ５，１９２，０００ | ３，７１０，４００ | ５，３８８，０００ | ５，３９２，０００ | ３，８７０，４００ |
| ４，９９２，０００ | ４，９９６，０００ | ３，５５３，６００ | ５，１９２，０００ | ５，１９６，０００ | ３，７１３，６００ | ５，３９２，０００ | ５，３９６，０００ | ３，８７３，６００ |
| ４，９９６，０００ | ５，０００，０００ | ３，５５６，８００ | ５，１９６，０００ | ５，２００，０００ | ３，７１６，８００ | ５，３９６，０００ | ５，４００，０００ | ３，８７６，８００ |
|  |  |  |  |  |  |  |  |  |
| ５，０００，０００ | ５，００４，０００ | ３，５６０，０００ | ５，２００，０００ | ５，２０４，０００ | ３，７２０，０００ | ５，４００，０００ | ５，４０４，０００ | ３，８８０，０００ |
| ５，００４，０００ | ５，００８，０００ | ３，５６３，２００ | ５，２０４，０００ | ５，２０８，０００ | ３，７２３，２００ | ５，４０４，０００ | ５，４０８，０００ | ３，８８３，２００ |
| ５，００８，０００ | ５，０１２，０００ | ３，５６６，４００ | ５，２０８，０００ | ５，２１２，０００ | ３，７２６，４００ | ５，４０８，０００ | ５，４１２，０００ | ３，８８６，４００ |
| ５，０１２，０００ | ５，０１６，０００ | ３，５６９，６００ | ５，２１２，０００ | ５，２１６，０００ | ３，７２９，６００ | ５，４１２，０００ | ５，４１６，０００ | ３，８８９，６００ |
| ５，０１６，０００ | ５，０２０，０００ | ３，５７２，８００ | ５，２１６，０００ | ５，２２０，０００ | ３，７３２，８００ | ５，４１６，０００ | ５，４２０，０００ | ３，８９２，８００ |
|  |  |  |  |  |  |  |  |  |
| ５，０２０，０００ | ５，０２４，０００ | ３，５７６，０００ | ５，２２０，０００ | ５，２２４，０００ | ３，７３６，０００ | ５，４２０，０００ | ５，４２４，０００ | ３，８９６，０００ |
| ５，０２４，０００ | ５，０２８，０００ | ３，５７９，２００ | ５，２２４，０００ | ５，２２８，０００ | ３，７３９，２００ | ５，４２４，０００ | ５，４２８，０００ | ３，８９９，２００ |
| ５，０２８，０００ | ５，０３２，０００ | ３，５８２，４００ | ５，２２８，０００ | ５，２３２，０００ | ３，７４２，４００ | ５，４２８，０００ | ５，４３２，０００ | ３，９０２，４００ |
| ５，０３２，０００ | ５，０３６，０００ | ３，５８５，６００ | ５，２３２，０００ | ５，２３６，０００ | ３，７４５，６００ | ５，４３２，０００ | ５，４３６，０００ | ３，９０５，６００ |
| ５，０３６，０００ | ５，０４０，０００ | ３，５８８，８００ | ５，２３６，０００ | ５，２４０，０００ | ３，７４８，８００ | ５，４３６，０００ | ５，４４０，０００ | ３，９０８，８００ |
|  |  |  |  |  |  |  |  |  |
| ５，０４０，０００ | ５，０４４，０００ | ３，５９２，０００ | ５，２４０，０００ | ５，２４４，０００ | ３，７５２，０００ | ５，４４０，０００ | ５，４４４，０００ | ３，９１２，０００ |
| ５，０４４，０００ | ５，０４８，０００ | ３，５９５，２００ | ５，２４４，０００ | ５，２４８，０００ | ３，７５５，２００ | ５，４４４，０００ | ５，４４８，０００ | ３，９１５，２００ |
| ５，０４８，０００ | ５，０５２，０００ | ３，５９８，４００ | ５，２４８，０００ | ５，２５２，０００ | ３，７５８，４００ | ５，４４８，０００ | ５，４５２，０００ | ３，９１８，４００ |
| ５，０５２，０００ | ５，０５６，０００ | ３，６０１，６００ | ５，２５２，０００ | ５，２５６，０００ | ３，７６１，６００ | ５，４５２，０００ | ５，４５６，０００ | ３，９２１，６００ |
| ５，０５６，０００ | ５，０６０，０００ | ３，６０４，８００ | ５，２５６，０００ | ５，２６０，０００ | ３，７６４，８００ | ５，４５６，０００ | ５，４６０，０００ | ３，９２４，８００ |

### （七）
| 給与等の金額 | 給与所得控除後の給与等の金額 | 給与等の金額 | 給与所得控除後の給与等の金額 | 給与等の金額 | 給与所得控除後の給与等の金額 |  |  |  |
| --- | --- | --- | --- | --- | --- | --- | --- | --- |
| 以上 | 給与所得控除後の給与等の金額 | 未満 | 給与所得控除後の給与等の金額 | 以上 | 給与所得控除後の給与等の金額 | 未満 | 以上 | 未満 |
| 円 | 円 | 円 | 円 | 円 | 円 | 円 | 円 | 円 |
| ５，４６０，０００ | ５，４６４，０００ | ３，９２８，０００ | ５，６６０，０００ | ５，６６４，０００ | ４，０８８，０００ | ５，８６０，０００ | ５，８６４，０００ | ４，２４８，０００ |
| ５，４６４，０００ | ５，４６８，０００ | ３，９３１，２００ | ５，６６４，０００ | ５，６６８，０００ | ４，０９１，２００ | ５，８６４，０００ | ５，８６８，０００ | ４，２５１，２００ |
| ５，４６８，０００ | ５，４７２，０００ | ３，９３４，４００ | ５，６６８，０００ | ５，６７２，０００ | ４，０９４，４００ | ５，８６８，０００ | ５，８７２，０００ | ４，２５４，４００ |
| ５，４７２，０００ | ５，４７６，０００ | ３，９３７，６００ | ５，６７２，０００ | ５，６７６，０００ | ４，０９７，６００ | ５，８７２，０００ | ５，８７６，０００ | ４，２５７，６００ |
| ５，４７６，０００ | ５，４８０，０００ | ３，９４０，８００ | ５，６７６，０００ | ５，６８０，０００ | ４，１００，８００ | ５，８７６，０００ | ５，８８０，０００ | ４，２６０，８００ |
|  |  |  |  |  |  |  |  |  |
| ５，４８０，０００ | ５，４８４，０００ | ３，９４４，０００ | ５，６８０，０００ | ５，６８４，０００ | ４，１０４，０００ | ５，８８０，０００ | ５，８８４，０００ | ４，２６４，０００ |
| ５，４８４，０００ | ５，４８８，０００ | ３，９４７，２００ | ５，６８４，０００ | ５，６８８，０００ | ４，１０７，２００ | ５，８８４，０００ | ５，８８８，０００ | ４，２６７，２００ |
| ５，４８８，０００ | ５，４９２，０００ | ３，９５０，４００ | ５，６８８，０００ | ５，６９２，０００ | ４，１１０，４００ | ５，８８８，０００ | ５，８９２，０００ | ４，２７０，４００ |
| ５，４９２，０００ | ５，４９６，０００ | ３，９５３，６００ | ５，６９２，０００ | ５，６９６，０００ | ４，１１３，６００ | ５，８９２，０００ | ５，８９６，０００ | ４，２７３，６００ |
| ５，４９６，０００ | ５，５００，０００ | ３，９５６，８００ | ５，６９６，０００ | ５，７００，０００ | ４，１１６，８００ | ５，８９６，０００ | ５，９００，０００ | ４，２７６，８００ |
|  |  |  |  |  |  |  |  |  |
| ５，５００，０００ | ５，５０４，０００ | ３，９６０，０００ | ５，７００，０００ | ５，７０４，０００ | ４，１２０，０００ | ５，９００，０００ | ５，９０４，０００ | ４，２８０，０００ |
| ５，５０４，０００ | ５，５０８，０００ | ３，９６３，２００ | ５，７０４，０００ | ５，７０８，０００ | ４，１２３，２００ | ５，９０４，０００ | ５，９０８，０００ | ４，２８３，２００ |
| ５，５０８，０００ | ５，５１２，０００ | ３，９６６，４００ | ５，７０８，０００ | ５，７１２，０００ | ４，１２６，４００ | ５，９０８，０００ | ５，９１２，０００ | ４，２８６，４００ |
| ５，５１２，０００ | ５，５１６，０００ | ３，９６９，６００ | ５，７１２，０００ | ５，７１６，０００ | ４，１２９，６００ | ５，９１２，０００ | ５，９１６，０００ | ４，２８９，６００ |
| ５，５１６，０００ | ５，５２０，０００ | ３，９７２，８００ | ５，７１６，０００ | ５，７２０，０００ | ４，１３２，８００ | ５，９１６，０００ | ５，９２０，０００ | ４，２９２，８００ |
|  |  |  |  |  |  |  |  |  |
| ５，５２０，０００ | ５，５２４，０００ | ３，９７６，０００ | ５，７２０，０００ | ５，７２４，０００ | ４，１３６，０００ | ５，９２０，０００ | ５，９２４，０００ | ４，２９６，０００ |
| ５，５２４，０００ | ５，５２８，０００ | ３，９７９，２００ | ５，７２４，０００ | ５，７２８，０００ | ４，１３９，２００ | ５，９２４，０００ | ５，９２８，０００ | ４，２９９，２００ |
| ５，５２８，０００ | ５，５３２，０００ | ３，９８２，４００ | ５，７２８，０００ | ５，７３２，０００ | ４，１４２，４００ | ５，９２８，０００ | ５，９３２，０００ | ４，３０２，４００ |
| ５，５３２，０００ | ５，５３６，０００ | ３，９８５，６００ | ５，７３２，０００ | ５，７３６，０００ | ４，１４５，６００ | ５，９３２，０００ | ５，９３６，０００ | ４，３０５，６００ |
| ５，５３６，０００ | ５，５４０，０００ | ３，９８８，８００ | ５，７３６，０００ | ５，７４０，０００ | ４，１４８，８００ | ５，９３６，０００ | ５，９４０，０００ | ４，３０８，８００ |
|  |  |  |  |  |  |  |  |  |
