law: 減価償却資産の耐用年数等に関する省令 (taiyounensuu_kisoku)
law_type: rule / law_num: 昭和四十年大蔵省令第十五号 / egov_id: 340M50000040015 / as_of: 2025-04-01
article: beppyo-1 / title: 別表第一

| 種類 | 構造又は用途 | 細目 | 耐用年数 |
| --- | --- | --- | --- |
|  |  |  | 年 |
| 建物 | 鉄骨鉄筋コンクリート造又は鉄筋コンクリート造のもの | 事務所用又は美術館用のもの及び左記以外のもの | 五〇 |
| 建物 | 鉄骨鉄筋コンクリート造又は鉄筋コンクリート造のもの | 住宅用、寄宿舎用、宿泊所用、学校用又は体育館用のもの | 四七 |
| 建物 | 鉄骨鉄筋コンクリート造又は鉄筋コンクリート造のもの | 飲食店用、貸席用、劇場用、演奏場用、映画館用又は舞踏場用のもの |  |
| 建物 | 鉄骨鉄筋コンクリート造又は鉄筋コンクリート造のもの | 飲食店用又は貸席用のもので、延べ面積のうちに占める木造内装部分の面積が三割を超えるもの | 三四 |
| 建物 | 鉄骨鉄筋コンクリート造又は鉄筋コンクリート造のもの | その他のもの | 四一 |
| 建物 | 鉄骨鉄筋コンクリート造又は鉄筋コンクリート造のもの | 旅館用又はホテル用のもの |  |
| 建物 | 鉄骨鉄筋コンクリート造又は鉄筋コンクリート造のもの | 延べ面積のうちに占める木造内装部分の面積が三割を超えるもの | 三一 |
| 建物 | 鉄骨鉄筋コンクリート造又は鉄筋コンクリート造のもの | その他のもの | 三九 |
| 建物 | 鉄骨鉄筋コンクリート造又は鉄筋コンクリート造のもの | 店舗用のもの | 三九 |
| 建物 | 鉄骨鉄筋コンクリート造又は鉄筋コンクリート造のもの | 病院用のもの | 三九 |
| 建物 | 鉄骨鉄筋コンクリート造又は鉄筋コンクリート造のもの | 変電所用、発電所用、送受信所用、停車場用、車庫用、格納庫用、荷扱所用、映画製作ステージ用、屋内スケート場用、魚市場用又はと畜場用のもの | 三八 |
| 建物 | 鉄骨鉄筋コンクリート造又は鉄筋コンクリート造のもの | 公衆浴場用のもの | 三一 |
| 建物 | 鉄骨鉄筋コンクリート造又は鉄筋コンクリート造のもの | 工場（作業場を含む。）用又は倉庫用のもの |  |
| 建物 | 鉄骨鉄筋コンクリート造又は鉄筋コンクリート造のもの | 塩素、塩酸、硫酸、硝酸その他の著しい腐食性を有する液体又は気体の影響を直接全面的に受けるもの、冷蔵倉庫用のもの（倉庫事業の倉庫用のものを除く。）及び放射性同位元素の放射線を直接受けるもの | 二四 |
| 建物 | 鉄骨鉄筋コンクリート造又は鉄筋コンクリート造のもの | 塩、チリ硝石その他の著しい潮解性を有する固体を常時蔵置するためのもの及び著しい蒸気の影響を直接全面的に受けるもの | 三一 |
| 建物 | 鉄骨鉄筋コンクリート造又は鉄筋コンクリート造のもの | その他のもの |  |
| 建物 | 鉄骨鉄筋コンクリート造又は鉄筋コンクリート造のもの | 倉庫事業の倉庫用のもの |  |
| 建物 | 鉄骨鉄筋コンクリート造又は鉄筋コンクリート造のもの | 冷蔵倉庫用のもの | 二一 |
| 建物 | 鉄骨鉄筋コンクリート造又は鉄筋コンクリート造のもの | その他のもの | 三一 |
| 建物 | 鉄骨鉄筋コンクリート造又は鉄筋コンクリート造のもの | その他のもの | 三八 |
|  | れんが造、石造又はブロック造のもの | 事務所用又は美術館用のもの及び左記以外のもの | 四一 |
|  | れんが造、石造又はブロック造のもの | 店舗用、住宅用、寄宿舎用、宿泊所用、学校用又は体育館用のもの | 三八 |
|  | れんが造、石造又はブロック造のもの | 飲食店用、貸席用、劇場用、演奏場用、映画館用又は舞踏場用のもの | 三八 |
