--- split 2/2 of beppyo-1.txt ---
|  |  | アスファルト敷又は木れんが敷のもの | 一〇 |
|  |  | ビチューマルス敷のもの | 三 |
|  | 鉄骨鉄筋コンクリート造又は鉄筋コンクリート造のもの（前掲のものを除く。） | 水道用ダム | 八〇 |
|  |  | トンネル | 七五 |
|  |  | 橋 | 六〇 |
|  |  | 岸壁、さん橋、防壁（爆発物用のものを除く。）、堤防、防波堤、塔、やぐら、上水道、水そう及び用水用ダム | 五〇 |
|  |  | 乾ドツク | 四五 |
|  |  | サイロ | 三五 |
|  |  | 下水道、煙突及び焼却炉 | 三五 |
|  |  | 高架道路、製塩用ちんでん池、飼育場及びへい | 三〇 |
|  |  | 爆発物用防壁及び防油堤 | 二五 |
|  |  | 造船台 | 二四 |
|  |  | 放射性同位元素の放射線を直接受けるもの | 一五 |
|  |  | その他のもの | 六〇 |
|  | コンクリート造又はコンクリートブロツク造のもの（前掲のものを除く。） | やぐら及び用水池 | 四〇 |
|  |  | サイロ | 三四 |
|  |  | 岸壁、さん橋、防壁（爆発物用のものを除く。）、堤防、防波堤、トンネル、上水道及び水そう | 三〇 |
|  |  | 下水道、飼育場及びへい | 一五 |
|  |  | 爆発物用防壁 | 一三 |
|  |  | 引湯管 | 一〇 |
|  |  | 鉱業用廃石捨場 | 五 |
|  |  | その他のもの | 四〇 |
|  | れんが造のもの（前掲のものを除く。） | 防壁（爆発物用のものを除く。）、堤防、防波堤及びトンネル | 五〇 |
|  |  | 煙突、煙道、焼却炉、へい及び爆発物用防壁 |  |
|  |  | 塩素、クロールスルホン酸その他の著しい腐食性を有する気体の影響を受けるもの | 七 |
|  |  | その他のもの | 二五 |
|  |  | その他のもの | 四〇 |
|  | 石造のもの（前掲のものを除く。） | 岸壁、さん橋、防壁（爆発物用のものを除く。）、堤防、防波堤、上水道及び用水池 | 五〇 |
|  |  | 乾ドック | 四五 |
|  |  | 下水道、へい及び爆発物用防壁 | 三五 |
|  |  | その他のもの | 五〇 |
|  | 土造のもの（前掲のものを除く。） | 防壁（爆発物用のものを除く。）、堤防、防波堤及び自動車道 | 四〇 |
|  |  | 上水道及び用水池 | 三〇 |
|  |  | 下水道 | 一五 |
|  |  | へい | 二〇 |
|  |  | 爆発物用防壁及び防油堤 | 一七 |
|  |  | その他のもの | 四〇 |
|  | 金属造のもの（前掲のものを除く。） | 橋（はね上げ橋を除く。） | 四五 |
|  | 金属造のもの（前掲のものを除く。） | はね上げ橋及び鋼矢板岸壁 | 二五 |
|  | 金属造のもの（前掲のものを除く。） | サイロ | 二二 |
|  |  | 送配管 |  |
|  |  | 鋳鉄製のもの | 三〇 |
|  |  | 鋼鉄製のもの | 一五 |
|  |  | ガス貯そう |  |
|  |  | 液化ガス用のもの | 一〇 |
|  |  | その他のもの | 二〇 |
|  |  | 薬品貯そう |  |
|  |  | 塩酸、ふつ酸、発煙硫酸、濃硝酸その他の発煙性を有する無機酸用のもの | 八 |
|  |  | 有機酸用又は硫酸、硝酸その他前掲のもの以外の無機酸用のもの | 一〇 |
|  |  | アルカリ類用、塩水用、アルコール用その他のもの | 一五 |
|  |  | 水そう及び油そう |  |
|  |  | 鋳鉄製のもの | 二五 |
|  |  | 鋼鉄製のもの | 一五 |
|  |  | 浮きドック | 二〇 |
|  |  | 飼育場 | 一五 |
|  |  | つり橋、煙突、焼却炉、打込み井戸、へい、街路灯及びガードレール | 一〇 |
|  |  | 露天式立体駐車設備 | 一五 |
|  |  | その他のもの | 四五 |
|  | 合成樹脂造のもの（前掲のものを除く。） |  | 一〇 |
