law: 減価償却資産の耐用年数等に関する省令 (taiyounensuu_kisoku)
law_type: rule / law_num: 昭和四十年大蔵省令第十五号 / egov_id: 340M50000040015 / as_of: 2025-04-01
article: beppyo-2 / title: 別表第二

| 番号 | 設備の種類 | 細目 | 耐用年数 |
| --- | --- | --- | --- |
|  |  |  | 年 |
| １ | 食料品製造業用設備 |  | 一〇 |
| ２ | 飲料、たばこ又は飼料製造業用設備 |  | 一〇 |
| ３ | 繊維工業用設備 | 炭素繊維製造設備 |  |
|  |  | 黒鉛化炉 | 三 |
|  |  | その他の設備 | 七 |
|  |  | その他の設備 | 七 |
| ４ | 木材又は木製品（家具を除く。）製造業用設備 |  | 八 |
| ５ | 家具又は装備品製造業用設備 |  | 一一 |
| ６ | パルプ、紙又は紙加工品製造業用設備 |  | 一二 |
| ７ | 印刷業又は印刷関連業用設備 | デジタル印刷システム設備 | 四 |
|  |  | 製本業用設備 | 七 |
|  |  | 新聞業用設備 |  |
|  |  | モノタイプ、写真又は通信設備 | 三 |
|  |  | その他の設備 | 一〇 |
|  |  | その他の設備 | 一〇 |
| ８ | 化学工業用設備 | 臭素、よう素又は塩素、臭素若しくはよう素化合物製造設備 | 五 |
|  |  | 塩化りん製造設備 | 四 |
|  |  | 活性炭製造設備 | 五 |
|  |  | ゼラチン又はにかわ製造設備 | 五 |
|  |  | 半導体用フォトレジスト製造設備 | 五 |
|  |  | フラットパネル用カラーフィルター、偏光板又は偏光板用フィルム製造設備 | 五 |
|  |  | その他の設備 | 八 |
| ９ | 石油製品又は石炭製品製造業用設備 |  | 七 |
| １０ | プラスチック製品製造業用設備（他の号に掲げるものを除く。） |  | 八 |
| １１ | ゴム製品製造業用設備 |  | 九 |
| １２ | なめし革、なめし革製品又は毛皮製造業用設備 |  | 九 |
| １３ | 窯業又は土石製品製造業用設備 |  | 九 |
| １４ | 鉄鋼業用設備 | 表面処理鋼材若しくは鉄粉製造業又は鉄スクラップ加工処理業用設備 | 五 |
|  |  | 純鉄、原鉄、ベースメタル、フェロアロイ、鉄素形材又は鋳鉄管製造業用設備 | 九 |
|  |  | その他の設備 | 一四 |
| １５ | 非鉄金属製造業用設備 | 核燃料物質加工設備 | 一一 |
|  |  | その他の設備 | 七 |
| １６ | 金属製品製造業用設備 | 金属被覆及び彫刻業又は打はく及び金属製ネームプレート製造業用設備 | 六 |
|  |  | その他の設備 | 一〇 |
| １７ | はん用機械器具（はん用性を有するもので、他の器具及び備品並びに機械及び装置に組み込み、又は取り付けることによりその用に供されるものをいう。）製造業用設備（第二〇号及び第二二号に掲げるものを除く。） |  | 一二 |
| １８ | 生産用機械器具（物の生産の用に供されるものをいう。）製造業用設備（次号及び第二一号に掲げるものを除く。） | 金属加工機械製造設備 | 九 |
|  | 生産用機械器具（物の生産の用に供されるものをいう。）製造業用設備（次号及び第二一号に掲げるものを除く。） | その他の設備 | 一二 |
| １９ | 業務用機械器具（業務用又はサービスの生産の用に供されるもの（これらのものであつて物の生産の用に供されるものを含む。）をいう。）製造業用設備（第一七号、第二一号及び第二三号に掲げるものを除く。） |  | 七 |
| ２０ | 電子部品、デバイス又は電子回路製造業用設備 | 光ディスク（追記型又は書換え型のものに限る。）製造設備 | 六 |
|  |  | プリント配線基板製造設備 | 六 |
|  |  | フラットパネルディスプレイ、半導体集積回路又は半導体素子製造設備 | 五 |
|  |  | その他の設備 | 八 |
| ２１ | 電気機械器具製造業用設備 |  | 七 |
| ２２ | 情報通信機械器具製造業用設備 |  | 八 |
| ２３ | 輸送用機械器具製造業用設備 |  | 九 |
