law: 減価償却資産の耐用年数等に関する省令 (taiyounensuu_kisoku)
law_type: rule / law_num: 昭和四十年大蔵省令第十五号 / egov_id: 340M50000040015 / as_of: 2025-04-01
article: beppyo-6 / title: 別表第六

| 種類 | 細目 | 耐用年数 |
| --- | --- | --- |
|  |  | 年 |
| 建物及び建物附属設備 | 建物の全部又は一部を低温室、恒温室、無響室、電磁しやへい室、放射性同位元素取扱室その他の特殊室にするために特に施設した内部造作又は建物附属設備 | 五 |
| 構築物 | 風どう、試験水そう及び防壁 | 五 |
| 構築物 | ガス又は工業薬品貯そう、アンテナ、鉄塔及び特殊用途に使用するもの | 七 |
| 工具 |  | 四 |
| 器具及び備品 | 試験又は測定機器、計算機器、撮影機及び顕微鏡 | 四 |
| 機械及び装置 | 汎はん用ポンプ、汎はん用モーター、汎はん用金属工作機械、汎はん用金属加工機械その他これらに類するもの | 七 |
| 機械及び装置 | その他のもの | 四 |
| ソフトウエア |  | 三 |
