law: 減価償却資産の耐用年数等に関する省令 (taiyounensuu_kisoku)
law_type: rule / law_num: 昭和四十年大蔵省令第十五号 / egov_id: 340M50000040015 / as_of: 2025-04-01
article: beppyo-9 / title: 別表第九

| 耐用年数 | 償却率 | 改定償却率 | 保証率 |
| --- | --- | --- | --- |
| 年 |  |  |  |
| 二 | 一・〇〇〇 | ――――― | ――――― |
| 三 | 〇・八三三 | 一・〇〇〇 | 〇・〇二七八九 |
| 四 | 〇・六二五 | 一・〇〇〇 | 〇・〇五二七四 |
| 五 | 〇・五〇〇 | 一・〇〇〇 | 〇・〇六二四九 |
| 六 | 〇・四一七 | 〇・五〇〇 | 〇・〇五七七六 |
| 七 | 〇・三五七 | 〇・五〇〇 | 〇・〇五四九六 |
| 八 | 〇・三一三 | 〇・三三四 | 〇・〇五一一一 |
| 九 | 〇・二七八 | 〇・三三四 | 〇・〇四七三一 |
| 一〇 | 〇・二五〇 | 〇・三三四 | 〇・〇四四四八 |
| 一一 | 〇・二二七 | 〇・二五〇 | 〇・〇四一二三 |
| 一二 | 〇・二〇八 | 〇・二五〇 | 〇・〇三八七〇 |
| 一三 | 〇・一九二 | 〇・二〇〇 | 〇・〇三六三三 |
| 一四 | 〇・一七九 | 〇・二〇〇 | 〇・〇三三八九 |
| 一五 | 〇・一六七 | 〇・二〇〇 | 〇・〇三二一七 |
| 一六 | 〇・一五六 | 〇・一六七 | 〇・〇三〇六三 |
| 一七 | 〇・一四七 | 〇・一六七 | 〇・〇二九〇五 |
| 一八 | 〇・一三九 | 〇・一四三 | 〇・〇二七五七 |
| 一九 | 〇・一三二 | 〇・一四三 | 〇・〇二六一六 |
| 二〇 | 〇・一二五 | 〇・一四三 | 〇・〇二五一七 |
| 二一 | 〇・一一九 | 〇・一二五 | 〇・〇二四〇八 |
| 二二 | 〇・一一四 | 〇・一二五 | 〇・〇二二九六 |
| 二三 | 〇・一〇九 | 〇・一一二 | 〇・〇二二二六 |
| 二四 | 〇・一〇四 | 〇・一一二 | 〇・〇二一五七 |
| 二五 | 〇・一〇〇 | 〇・一一二 | 〇・〇二〇五八 |
| 二六 | 〇・〇九六 | 〇・一〇〇 | 〇・〇一九八九 |
| 二七 | 〇・〇九三 | 〇・一〇〇 | 〇・〇一九〇二 |
| 二八 | 〇・〇八九 | 〇・〇九一 | 〇・〇一八六六 |
| 二九 | 〇・〇八六 | 〇・〇九一 | 〇・〇一八〇三 |
| 三〇 | 〇・〇八三 | 〇・〇八四 | 〇・〇一七六六 |
| 三一 | 〇・〇八一 | 〇・〇八四 | 〇・〇一六八八 |
| 三二 | 〇・〇七八 | 〇・〇八四 | 〇・〇一六五五 |
| 三三 | 〇・〇七六 | 〇・〇七七 | 〇・〇一五八五 |
| 三四 | 〇・〇七四 | 〇・〇七七 | 〇・〇一五三二 |
| 三五 | 〇・〇七一 | 〇・〇七二 | 〇・〇一五三二 |
| 三六 | 〇・〇六九 | 〇・〇七二 | 〇・〇一四九四 |
| 三七 | 〇・〇六八 | 〇・〇七二 | 〇・〇一四二五 |
| 三八 | 〇・〇六六 | 〇・〇六七 | 〇・〇一三九三 |
| 三九 | 〇・〇六四 | 〇・〇六七 | 〇・〇一三七〇 |
| 四〇 | 〇・〇六三 | 〇・〇六七 | 〇・〇一三一七 |
| 四一 | 〇・〇六一 | 〇・〇六三 | 〇・〇一三〇六 |
| 四二 | 〇・〇六〇 | 〇・〇六三 | 〇・〇一二六一 |
| 四三 | 〇・〇五八 | 〇・〇五九 | 〇・〇一二四八 |
