doc_code	item_id	item_title
shitsugi_sozoku	16-01	贈与により取得したものとみなされる保険金で配偶者が居住用不動産を取得した場合の贈与税の配偶者控除
shitsugi_sozoku	16-02	贈与を受けた土地の上に他人が建物を建築し、その建物に当該土地の受贈者が居住した場合の贈与税の配偶者控除
shitsugi_sozoku	16-03	贈与税の配偶者控除の対象となる居住用不動産の範囲(1)
shitsugi_sozoku	16-04	贈与税の配偶者控除の対象となる居住用不動産の範囲(2)
shitsugi_sozoku	16-05	日本国籍を有しない者が受ける贈与税の配偶者控除に係る贈与税の申告書の添付書類
shitsugi_sozoku	16-06	低額譲受けによる利益相当額についての贈与税の配偶者控除の適用
shitsugi_sozoku	16-07	贈与税の配偶者控除の適用を受ける場合における居住用不動産の居住の用に供する時期
shitsugi_sozoku	17-01	贈与により取得したものとみなされる生命保険金を住宅取得資金に充てた場合の住宅取得等資金の贈与の特例の適用
shitsugi_sozoku	17-02	住宅取得等資金の贈与を受けた者が年の中途で出国した場合の住宅取得等資金の贈与の特例の適用の可否
shitsugi_sozoku	17-03	受贈した金銭を一般定期借地権に係る権利金又は保証金に充てた場合の住宅取得等資金の贈与の特例の適用の可否
shitsugi_sozoku	17-05	住宅用家屋の新築等の対価又は増改築等の費用の範囲
shitsugi_sozoku	17-06	住宅用家屋を新築するための土地の購入資金に充てるために金銭の贈与を受けた場合における住宅取得等資金の贈与の特例の適用の可否
shitsugi_sozoku	17-07	店舗兼住宅を取得した場合の床面積要件
shitsugi_sozoku	17-08	住宅取得等資金の贈与と住宅借入金等特別控除との関係
shitsugi_sozoku	18-01	納税猶予の対象となる農地(2)
shitsugi_sozoku	18-02	調整水田に対する納税猶予の適用
shitsugi_sozoku	18-03	相続税の納税猶予の適用を受けることができる農業相続人
shitsugi_sozoku	18-04	修正申告等による増差税額の納税猶予の適用
shitsugi_sozoku	18-05	特例農地等の一部を市に寄附した場合の100分の20の判定
shitsugi_sozoku	18-06	特例農地等について農業経営基盤強化促進法第7条第2号に掲げる事業（農地売渡信託等事業）による信託契約を締結した場合の納税猶予期限の確定
shitsugi_sozoku	18-07	農業の用に供されていた農地
shitsugi_sozoku	18-08	納税猶予の適用を受ける場合の贈与者の農業に従事していた期間
shitsugi_sozoku	18-09	納付すべき相続税額が算出されない配偶者についての納税猶予の適用
shitsugi_sozoku	18-10	相続税の特例農地等の一部について地役権が設定された場合
shitsugi_sozoku	18-11	特例適用農地の譲渡代金の一部について代替農地の取得の見積承認申請があった場合
shitsugi_sozoku	18-12	特定農業団体に対し農作業の一部を委託した場合
shitsugi_sozoku	18-13	納税猶予の対象となる農地(1)
shitsugi_sozoku	18-14	土地区画整理事業に係る土地
shitsugi_sozoku	18-15	納税猶予の特例の適用を受けた休耕地をその後転用した場合
shitsugi_sozoku	18-16	市民菜園として貸し付けている農地
shitsugi_sozoku	18-17	レジャー農園の用に供されている農地
shitsugi_sozoku	18-18	修正申告等に係る贈与税（相続税）額の納税猶予に係る加算税
shitsugi_sozoku	18-19	農業協同組合の受託経営に係る農地
shitsugi_sozoku	18-20	鉄塔の建替え工事のため仮鉄塔の敷地として一時使用されている土地
shitsugi_sozoku	18-21	砂利採取中の土地
shitsugi_sozoku	18-23	農地所有適格法人に貸し付けることとなった農地
shitsugi_sozoku	18-24	同一年中に複数の者に贈与した場合
shitsugi_sozoku	18-25	農業所得の申告が贈与者以外の者によって行われていた場合
shitsugi_sozoku	18-26	貸付農地がある場合の贈与税の納税猶予の適用
shitsugi_sozoku	18-27	同一年中に2人の贈与者から農地等の生前一括贈与を受けた場合
shitsugi_sozoku	18-28	2人以上の者が農地等を共有で相続した場合の納税猶予の特例の可否
shitsugi_sozoku	18-29	未成年者が農業相続人となった場合の農業所得の申告
shitsugi_sozoku	18-30	相続放棄と相続税の納税猶予
shitsugi_sozoku	18-31	未成年者が農業相続人となる場合の農業委員会の証明
shitsugi_sozoku	18-32	納税猶予の特例の適用を受けている農地等の大半が収用により譲渡されたために農業経営を廃止した場合の利子税の特例
shitsugi_sozoku	18-33	仮換地が指定されている相続税の納税猶予の適用を受けている農地等について特定転用を受けた者が、その後の換地処分により清算金の交付を受けた場合の猶予期限の確定処理
shitsugi_sozoku	18-34	経営移譲年金の受給資格取得のために経営移譲が行われていた場合の相続税の納税猶予の特例の適用
shitsugi_sozoku	18-35	対象年の前年以前又は対象年に農地法第5条の許可を受けた農地等の贈与を行った場合の贈与税の納税猶予の適用
shitsugi_sozoku	19-01	共同相続人に該当しない親権者が未成年者である子に代理して遺産分割協議書を作成する場合
shitsugi_sozoku	20-01	15年以内の年賦延納をすることができる場合の不動産の占める割合の計算
taxanswer_fufuku	7200	No.7200 税務署長等の処分に不服があるときの不服申立手続
taxanswer_fufuku	7210	No.7210 「不服申立て」ができる場合、できない場合
taxanswer_gensen	2502	No.2502 源泉徴収義務者とは
taxanswer_gensen	2503	No.2503 給与所得者の扶養控除等申告書等の保存期間
taxanswer_gensen	2505	No.2505 源泉所得税及び復興特別所得税の納付期限と納期の特例
taxanswer_gensen	2506	No.2506 源泉所得税及び復興特別所得税を納め過ぎたとき
taxanswer_gensen	2507	No.2507 復興特別所得税の源泉徴収
taxanswer_gensen	2508	No.2508 給与所得となるもの
taxanswer_gensen	2509	No.2509 給与所得の収入金額の収入すべき時期
taxanswer_gensen	2511	No.2511 税額表の種類と使い方
taxanswer_gensen	2514	No.2514 パートやアルバイトの源泉徴収
taxanswer_gensen	2517	No.2517 海外に転勤する人の年末調整と転勤後の源泉徴収
taxanswer_gensen	2518	No.2518 海外出向者が帰国したときの年末調整
taxanswer_gensen	2520	No.2520 2か所以上から給与をもらっている人の源泉徴収
taxanswer_gensen	2523	No.2523 賞与に対する源泉徴収
taxanswer_gensen	2526	No.2526 給与が一部未払の場合の源泉徴収
taxanswer_gensen	2529	No.2529 給与の改訂差額に対する税額の計算
