id	pid	snippet	core
ireland--synthesizedtextforjapan-ireland-jp-a6	6	第六条 対象租税協定の目的 条約の対象となる租税に関して、脱税又は租税回避を通じた非課税又は 租税の軽減（両締約国以外の国又は地域の居住者の間接的な利益のために 条約において与えられる租税の免除又は軽減を得ることを目的とする条約 漁(あさ)	text/ireland--synthesizedtextforjapan-ireland-jp-pack-00.txt
ireland--synthesizedtextforjapan-ireland-jp-a2	2	第二条 １ この条約の対象である租税は、次のものとする。 (a) アイルランドにおいては、 (i) 所得税（付加税を含む。） (ii) 法人利潤税 (b) 日本国においては、 (i) 所得税 (ii) 法人税 (iii) 住民税 ２ この条	text/ireland--synthesizedtextforjapan-ireland-jp-pack-00.txt
ireland--synthesizedtextforjapan-ireland-jp-a3	3	第三条 課税上存在しない団体 １ 条約の適用上、いずれかの締約国の租税に関する法令の下において全 面的若しくは部分的に課税上存在しないものとして取り扱われる団体若 しくは仕組みによって又はこのような団体若しくは仕組みを通じて取得 される所得	text/ireland--synthesizedtextforjapan-ireland-jp-pack-00.txt
ireland--synthesizedtextforjapan-ireland-jp-a3	3	第三条 １ この条約において、文脈により別に解釈すべき場合を除くほか、 (a) 「日本国」とは、地理的意味で用いる場合には、日本国の租税に関 する法令が施行されている領域をいう。 (b) 「一方の締約国」及び「他方の締約国」とは、文脈により	text/ireland--synthesizedtextforjapan-ireland-jp-pack-00.txt
ireland--synthesizedtextforjapan-ireland-jp-a4	4	第四条 １ この条約の適用上、 「一方の締約国の居住者」とは、当該一方の締約国 の法令の下において、住所、居所、本店又は主たる事務所の所在地、管理 の場所その他これらに類する基準により当該一方の締約国において課税 を受けるべきものとされる者	text/ireland--synthesizedtextforjapan-ireland-jp-pack-00.txt
ireland--synthesizedtextforjapan-ireland-jp-a5	5	第五条 この条約に基づき所得について一方の締約国の租税が軽減される場合に おいて、他方の締約国において施行されている法令により、個人が、当該所 得の全額についてではなく当該所得のうち当該他方の締約国に送金され又 は当該他方の締約国内で受領し	text/ireland--synthesizedtextforjapan-ireland-jp-pack-00.txt
ireland--synthesizedtextforjapan-ireland-jp-a6	6	第六条 １ この条約の適用上、 「恒久的施設」とは、事業を行う一定の場所であつ て企業がその事業の全部又は一部を行つているものをいう。 ２ 「恒久的施設」には、特に、次のものを含む。 (a) 管理所 (b) 支店 (c) 事務所 (d) 工	text/ireland--synthesizedtextforjapan-ireland-jp-pack-00.txt
ireland--synthesizedtextforjapan-ireland-jp-a13	13	第十三条 特定の活動に関する除外を利用した恒久的施設の地位 の人為的な回避 ４ 条約第六条３の規定は、事業を行う一定の場所を使用し、若しくは保 有する企業又は当該企業と密接に関連する企業が当該一定の場所又は当 該一定の場所が存在する締約国内	text/ireland--synthesizedtextforjapan-ireland-jp-pack-01.txt
ireland--synthesizedtextforjapan-ireland-jp-a15	15	第十五条 企業と密接に関連する者の定義 １ 条約第六条の規定の適用上、ある者とある企業とは、全ての関連する 事実及び状況に基づいて、一方が他方を支配している場合又は両者が同 一の者若しくは企業によって支配されている場合には、密接に関連する 	text/ireland--synthesizedtextforjapan-ireland-jp-pack-01.txt
ireland--synthesizedtextforjapan-ireland-jp-a7	7	第七条 １ 不動産から生ずる所得に対しては、当該不動産が存在する締約国にお いて租税を課することができる。 ２ 「不動産」の定義は、当該財産が存在する締約国の法令によるものとす る。不動産には、いかなる場合にも、不動産に附属する財産、農業又	text/ireland--synthesizedtextforjapan-ireland-jp-pack-03.txt
ireland--synthesizedtextforjapan-ireland-jp-a8	8	第八条 １ 一方の締約国の企業の利得に対しては、その企業が他方の締約国内に ある恒久的施設を通じて当該他方の締約国内で事業を行わない限り、当 該一方の締約国においてのみ租税を課することができる。一方の締約国 の企業が他方の締約国内にある恒久	text/ireland--synthesizedtextforjapan-ireland-jp-pack-01.txt
ireland--synthesizedtextforjapan-ireland-jp-a10	10	第十条 (a) 一方の締約国の企業が他方の締約国の企業の経営、支配若しくは資本 に直接若しくは間接に参加している場合又は (b) 同一の者が一方の締約国の企業及び他方の締約国の企業の経営、支配 若しくは資本に直接若しくは間接に参加している場	text/ireland--synthesizedtextforjapan-ireland-jp-pack-01.txt
ireland--synthesizedtextforjapan-ireland-jp-a17	17	第十七条 対応的調整 １ 一方の締約国が、他方の締約国において租税を課された当該他方の締 約国の企業の利得を当該一方の締約国の企業の利得に算入して租税を課 する場合において、その算入された利得が、双方の企業の間に設けられ た条件が独立の企業	text/ireland--synthesizedtextforjapan-ireland-jp-pack-01.txt
ireland--synthesizedtextforjapan-ireland-jp-a9	9	第九条 １ 一方の締約国の企業が船舶又は航空機を国際運輸に運用することによ つて取得する利得については、他方の締約国において租税を免除する。 ２ 一方の締約国の企業は、船舶又は航空機を国際運輸に運用することに つき、 アイルランドの企業であ	text/ireland--synthesizedtextforjapan-ireland-jp-pack-01.txt
