id,title,role,kind,url,original_rel,highlight_html_rel,highlight_pdf_rel,ok,note,found_count,missing_count,missing_phrases
CONTROL-001,2ChatGPT review/control memo,review_control,local_text,D:\Users\PC\Desktop\2ChatGPT.txt,sources/originals/CONTROL-001_2ChatGPT.txt,sources/highlighted_originals/CONTROL-001_highlighted_original.html,,True,copied 111492 bytes,5,0,
LAW-001,e-Gov 法人税法 2026-04-01版,primary_law,local_text,https://laws.e-gov.go.jp/law/340AC0000000034,sources/originals/LAW-001_egov_hojinzeiho_20260401.txt,sources/highlighted_originals/LAW-001_highlighted_original.html,,True,copied 1820459 bytes,7,0,
LAW-002,e-Gov 法人税法施行令 2026-04-01版,primary_law,local_text,https://laws.e-gov.go.jp/law/340CO0000000097,sources/originals/LAW-002_egov_hojinzeiho_rei_20260401.txt,sources/highlighted_originals/LAW-002_highlighted_original.html,,True,copied 3587220 bytes,5,1,発行済株式等の全部を保有する場合
NTA-001,国税庁 法人税基本通達16-1-1,tax_guidance,local_text,https://www.nta.go.jp/law/tsutatsu/kihon/hojin/16/16_01_01.htm,sources/originals/NTA-001_basic_16_01_01.txt,sources/highlighted_originals/NTA-001_highlighted_original.html,,True,copied 3663 bytes,4,0,
NTA-002,国税庁 法人税基本通達16-5-1/16-5-2,tax_guidance,local_text,https://www.nta.go.jp/law/tsutatsu/kihon/hojin/16/16_05.htm,sources/originals/NTA-002_basic_16_05.txt,sources/highlighted_originals/NTA-002_highlighted_original.html,,True,copied 3423 bytes,5,0,
COMP-001,Buffet Crampon Japan official company overview,company_primary,html,https://jp.buffet-crampon.com/bc_JP_jp/company-informations/company-overview.html,sources/originals/COMP-001_company_overview.html,sources/highlighted_originals/COMP-001_highlighted_original.html,,True,HTTP 200; 119742 bytes,6,0,
COMP-002,Besson official history,company_primary,html,https://www.besson.com/ja/%E4%BC%81%E6%A5%AD%E6%B2%BF%E9%9D%A9/,sources/originals/COMP-002_besson_history.html,sources/highlighted_originals/COMP-002_highlighted_original.html,,True,HTTP 200; 46172 bytes,6,0,
COMP-003,Buffet Crampon Group presence in the world,company_primary,html,https://www.buffetcrampongroup.com/en/about-us/presence-in-the-world/,sources/originals/COMP-003_group_presence_world.html,sources/highlighted_originals/COMP-003_highlighted_original.html,,True,HTTP 200; 115533 bytes,4,0,
COMP-004,Buffet Crampon Group at a glance,company_primary,html,https://www.buffetcrampongroup.com/en/about-us/in-a-trice/,sources/originals/COMP-004_group_at_a_glance.html,sources/highlighted_originals/COMP-004_highlighted_original.html,,True,HTTP 200; 75108 bytes,1,2,Buffet Crampon Shareholders Alcopa | 100M€ Worldwide turnover
COMP-005,Alcopa current investment page,company_primary,html,https://alcopa.be/investment/buffet-crampon/,sources/originals/COMP-005_alcopa_investment_buffet_crampon.html,sources/highlighted_originals/COMP-005_highlighted_original.html,,True,HTTP 200; 80120 bytes,7,0,
COMP-006,Alcopa official history,company_primary,html,https://alcopa.be/history/,sources/originals/COMP-006_alcopa_history.html,sources/highlighted_originals/COMP-006_highlighted_original.html,,True,HTTP 200; 85013 bytes,3,1,maintaining full ownership by the family
COMP-007,Alcopa 2024 Activity Report,company_primary,pdf,https://alcopa.be/wp-content/uploads/2025/08/Alcopa-2024-Activity-Report.pdf,sources/originals/COMP-007_Alcopa_2024_Activity_Report.pdf,,sources/highlighted_originals/pdf/COMP-007_highlighted_original.pdf,True,HTTP 200; 17796814 bytes; pdf 25 highlights,25,1,Management is a co-shareholder
MNA-001,DLA Piper acquisition news,mna_evidence,html,https://www.dlapiper.com/fr-fr/news/2025/01/dla-piper-conseille-le-groupe-alcopa-capital-development,sources/originals/MNA-001_dla_news_acquisition.html,sources/highlighted_originals/MNA-001_highlighted_original.html,,True,HTTP 200; 301684 bytes,4,0,
MNA-002,DLA Piper Raphael Bera profile,mna_evidence,html,https://www.dlapiper.com/en-hu/people/b/bera-raphael,sources/originals/MNA-002_dla_bera_profile.html,sources/highlighted_originals/MNA-002_highlighted_original.html,,True,HTTP 200; 220002 bytes,3,0,
MNA-003,Veil Jourde TRAIL sale to Alcopa,mna_evidence,html,https://www.veil.fr/en/veil-jourde-counsel-to-trail-in-the-sale-of-buffet-crampon-to-alcopa/,sources/originals/MNA-003_veil_trail_sale.html,sources/highlighted_originals/MNA-003_highlighted_original.html,,True,HTTP 200; 45791 bytes,4,0,
REG-001,INPI RNE Buffet Crampon 1825 SIREN 934437773,registry_primary,pdf,https://data.inpi.fr/export/companies?format=pdf&ids=%5B%22934437773%22%5D,sources/originals/REG-001_INPI_934437773_Buffet_Crampon_1825.pdf,,sources/highlighted_originals/pdf/REG-001_highlighted_original.pdf,True,Original DATA INPI PDF copied from Chrome download; highlighted PDF clone created.,15,0,
REG-002,INPI RNE Buffet Crampon SIREN 750220980,registry_primary,pdf,https://data.inpi.fr/export/companies?format=pdf&ids=%5B%22750220980%22%5D,sources/originals/REG-002_INPI_750220980_Buffet_Crampon.pdf,,sources/highlighted_originals/pdf/REG-002_highlighted_original.pdf,True,Original DATA INPI PDF copied from Chrome download; highlighted PDF clone created.,20,0,
REG-003,INPI RNE old Buffet Crampon SIREN 445363518,registry_primary,pdf,https://data.inpi.fr/export/companies?format=pdf&ids=%5B%22445363518%22%5D,sources/originals/REG-003_INPI_445363518_old_Buffet_Crampon.pdf,,sources/highlighted_originals/pdf/REG-003_highlighted_original.pdf,True,Original DATA INPI PDF copied from Chrome download; highlighted PDF clone created.,26,0,
REG-004,BODACC merger notice 2024-12-31,registry_primary,pdf,https://www.bodacc.fr/telechargements/COMMERCIALES/PDF/A/2024/20240212/0/BODACC_A_PDF_Unitaire_20240212_01603.pdf,sources/originals/REG-004_BODACC_A_20240212_01603.pdf,,sources/highlighted_originals/pdf/REG-004_highlighted_original.pdf,True,HTTP 200; 63301 bytes; pdf 21 highlights,21,3,Fusion | Absorbante | Absorbée
